-03- -2SS
cV1B -2uJ
cW4m -12f
cW6O --8s
cWCv -39T
cWYf --Ko
cX8u --MS
cXKG --Q8
cYS_ -2jF
cYxc --T2
cZ_2 --gF
cZco ---n
cZnJ -1j0
c_DU ---P
caNl --cb
caXV --Jo
cam4 -0Ae
cb6X -0Q1
chcw --9f
cijk -02I
cinz --8p
cjAP -2Xl
ck2f -05h
ckjo --EY
coFq -0zE
coXp -3L_
cr-j --7T
criF -1EN
csM6 --0v
ctH_ -0gX
cvDp -10Z
cw6v --8r
cwQK -2En
d0-0 -3a1
d0-6 --Zp
d0Ra -03u
d0me --O8
d0o5 -03v
d2CH -3fs
d2Kj -0mx
d2Nr -3Bi
d3DT -0gP
d3bw --6T
d53_ --E_
d54o -2Ir
d5Gq -1lx
d6T4 -1Ey
d7UV --lL
d8_f -23I
dAhD -0x0
dAt- -2k6
dBOa --sc
dCAL --TK
dEa8 --ha
dEvZ --B7
dGdL -0E4
dIVp --pC
dKYY --rd
dL10 -2Kh
dL99 -1Cq
dLAw -0q8
dLNO --nt
dNFK --Eq
dNQz --4A
dNRD -0-u
dOAh --Pc
dPW0 --5T
dPrX -3Sy
dQV3 --OS
dR5b -0Do
dT9N --FF
dTFE --hr
dV7a --7u
dWzn -3Fi
dX-N --QU
dX6F -3Jx
dYAR --0d
dYtF -1Sj
dZ54 --kN
dZJG -02f
d_WF -0sN
daWx -1Lc
dajg -0Um
dbDd --Wo
dbL3 -1KU
dblH -09z
dcSQ -2xE
dcV_ --2u
dclu --jA
ddLP --lR
ddl9 --2K
ddoX --St
deUa --ma
demc -0qy
dezX --1n
dhkZ -07C
dik_ --eJ
dj0o --4y
dk6c -0FK
dkE6 -2eu
dmAe --NA
dmhv --Ad
dnIZ -06V
dnK- -3Mf
dnc0 -0LZ
dnwT -0y-
do3y -0BD
dodU -0-E
dp6s --kb
dpEj -0xN
dpMp --Un
dpYs -28O
dqp2 --3l
dr44 -27W
dsDe --pj
dslN -0_s
dtIz --Fx
dthM --qr
dwpO -02d
dwz5 -2fe
dzFQ --4V
dzT- -0NO
e-46 --fn
e21M --bP
e40N --Bk
e4Rc -18M
e4yn -1MB
e7ao -2cH
e7ju -0Qa
e8la --H_
e9Dt -0Pe
eCiG --Fa
eDUf --XH
eDu5 --B-
eE49 -21_
eEID -15i
eEkN --Q4
eGhK --GF
eK1v --Yb
eLOw --iw
eMSm --Mx
eNJf --5B
eNs- -0mT
eOyF -0iR
ePus --4_
eQDS --rg
eQkg --yI
eR02 --wO
eRWO --Gb
eSvw --0T
eUCf -0GD
eVsQ --Xy
eW_s --4s
eXWg -0KO
eY5G --24
eYaP -1S6
eZU6 -1Zv
eZjv --T1
eZnj --Fy
eaFx --QD
ec-t -1kf
ediv --Wb
edsV -3WX
ef6l --M1
efG0 --la
efgQ -0yi
egwm --Yw
ehJw --8R
eiFs -2IC
eide -2tO
ejMA --E3
ejYf --FT
ejlJ -0YG
elIf -0IC
elUG --ng
emiR -2bQ
enA3 -12v
enfw -1by
eokU --r4
ep9O --eG
eqBZ --ER
eqI0 -0B7
eqiW -1eq
estH -2LY
etds -0Dw
euph --tW
evBh --DF
ewFy --3O
ey6N --6c
ez7F -3mB
ezEz --Om
f-GI -1LC
f-kH --ie
f26x -2L8
f2jN -3Ge
f3mX --F1
f4tB --o7
f5Pb --7R
f88p --pX
f8Jf -15R
f9i9 --7A
fBpQ -0KN
fCFt -1XW
fCcB -23M
fDHI -0nk
fDuy -09Y
fF57 -1Ef
fFVx --1h
fHuH --2i
fIUq -0Ec
fIpI -3IC
fJjw -0IE
fOFE --3a
fOU0 -0v-
fQcM -1_N
fQox --54
fR2x -0g8
fSL9 -0_g
fSOh -3-8
fSyn -27f
fU1q --h0
fU_J -0Y7
fXDF --kn
fXVM -07k
fXj3 -2d3
fXmq --ed
fZ9c --0_
fZCm --Z1
fZer --3N
f_Pf --yw
f_da --le
fbZ0 --xD
fcw5 --EK
fd9k --Zh
fdst -08g
femO --Rs
fhRw --1f
fhan -1CJ
fjCX --Cu
fjFR --Ef
fjmp -1hD
fnLT --_1
foDz -3iy
foOT -1vX
fpLo --vV
fpqk --cf
fqSo -2YX
fqZz --iA
fsaA --04
ftGR -0S1
ftv4 -1gp
fuQ3 --3c
fuwv --qu
fw9f -2FA
fy38 -0HX
fyCK -1qk
fzca -1bV
fzsy -1ZC
g-JD --hb
g0q7 --90
g1YS --ri
g1ks -10G
g1qv -1_w
g1s1 -2ke
g2H6 -1Ly
g3xF -187
g4Lg -1Aq
g4VB --2l
g51C --93
g5EE --B6
g62N -0WC
g6_e --ae
g7p4 --qn
g9ZX -117
g9k8 --EV
gApE -0a9
gCXy --FR
gCZg -0DT
gD7O -0UM
gDBS -04r
gDUR -0c5
gEcx --dB
gEjz --4r
gFBL --fg
gFI0 -0TD
gFIf -0A5
gFXP --JL
gFY0 -1r2
gFwI -1Ai
gGFs --Vo
gH-3 --9G
gJ6I --eT
gJSi --7k
gK7q -0ru
gLJs -1FK
gMB3 -31p
gMHB --mP
gN83 -0F7
gNa1 --1q
gOdP -3Ow
gP6O -2Wh
gPn1 --5_
gPxc -0yT
gQfA --fp
gQsd -3Gv
gQtV -0Oh
gQuc -1Hn
gSrz --4p
gTU4 -0UT
gVP0 --Yv
gVUz -2DW
gW5t --Tk
gWAh -1ku
gWsH ---e
gWyn -0nq
gXDB -3hY
gXNB -04T
gXZq -1a7
gXgS -05q
gYwe --m1
gYzw -1Jn
g_W_ --96
gb9F --Cs
gblM --bT
gelN -06T
gfkl --NV
gg7C -214
ghRs --KR
gi07 -1zk
gkMD -0Lk
gn63 -2Al
go1A --Vz
goIv --An
gpLS -1gR
gpjS --r5
gptc -0yo
gqLX -0fn
gsar -0uv
gt1K --2e
gtF9 -0mY
gtUK -08d
gvPC --J9
gw5p --1_
gwcs -0qu
gwhO --eF
gxhr -0pb
gz0d -10S
h0LH -0wJ
h3l2 --7J
h3mG -1hb
h622 --Cg
h6MC --3y
h7BF -0uk
h7jh --9c
h7tS --VN
h8aB --1N
h9aQ -2rQ
h9qp -2vy
hAvC --EC
hB_o -1kn
hC2m --NJ
hDz8 --vf
hE8h -3B7
hFcB -1Ve
hHEz -09H
hHOO --Pi
hIhc -0Ab
hKQ9 --W8
hKcN --53
hM4K --cM
hMWp -2jU
hNif --Ab
hO-N --6I
hOLj -029
hQKI -0RY
hRZ2 -0ei
hRpa --6L
hUnW --m6
hVH2 --0z
hW7C -11W
hXNd -18x
hXXA -0Qq
hYLs --L5
hYZC -0gp
hZC6 -17Y
hZx- -2AT
haKS --zQ
haV9 --bu
hbrs --6A
hf69 --Xu
hfPl --aI
hfvQ --HH
hgnd --8w
hiWF --fN
hiqe -0S-
hj3t -2Zu
hj83 --8g
hjGT -00U
hjlw -27J
hl9l -1lR
hlom --fr
hm5S -0-J
hmxT --p6
hmxf --Uu
hnU- -3Re
hnX_ --Pu
hnl- -2Or
hoG0 --2H
hobi -0J4
hoxu -1Ni
hpfR --T4
hq21 -1lW
hqWt -1kW
hrjh --jU
hrsM -0WE
htAt -04_
htXk -0YS
htgP --eH
htzq --1u
hu2J --RT
hu_E --pR
huxs -18B
hwK5 --2C
hwOY --2D
hwRj --P6
hyzO -0xc
hzAU --E5
hzr2 --y-
i0IF --5-
i1nN --ii
i27Y -3Vj
i2rS -0Dn
i3N3 --d8
i4KC --AA
i4gs -1mp
i57S -10K
i5Wf -02D
i6JI -06F
i85e --M0
i8Bb --Yt
i8Jb --Jn
i8yo --mb
i99f -0bv
i9Q3 --LD
i9oO -22p
i9ri --DP
iA20 -1v3
iCC7 --FS
iCmN --dM
iDBp --ln
iE1x -1HH
iEBj --VK
iJFl -1AW
iKO4 --gK
iM4E -0_8
iO48 --Mr
iOEl --W6
iOdf -0Wh
iPOe --QH
iTjr -2SK
iUhe --Dd
iWwp --cQ
iXeM -0ee
iYLh --yU
i_81 -0DO
ia0J -01r
iaRe --AR
ibyw --85
idBB -1wn
idZb -2f8
idva -2wk
ie8e -0GJ
ieQN -0rA
ieUx -0RD
iesC --ro
if-k --h4
igP2 -3S4
igjL -0yU
igyZ --md
ihZ9 -3OS
iha2 --1T
ijGt --5f
ik0B --We
ik4T --0N
ikE7 -0IW
ilUd --ui
im4p --v4
ioSv -0fK
ioiW -1-q
ipN4 -0a2
iprq --KF
iq_t --eM
iqfM -3hg
iqpZ --GM
isc0 --Kv
isph -13n
itkg -0E_
itq5 -2Do
ittx --Q7
itxC -1G2
iudn -1Ia
iuqh --n2
ixFw --Xi
ixxn -01G
iyIt -2HK
iyqa -1-f
j-Hw -0fc
j-iS --SF
j0hw -1oM
j2Ql --5s
j2iR --7-
j2ob --3Z
j2z3 -0t4
j3Dz --KL
j3kE -1t-
j5ZN --wC
j7pG -0Hk
j988 --4i
jAA_ --Im
jBrf --SR
jDq6 -2XW
jEOb --sF
jEpA --k2
jEva -0Em
jFcj -01j
jHKX --AD
jHYI --MI
jHZ4 --15
jIXO -1_U
jIwI -3Dd
jKFP --Jh
jLKe --5K
jNIp --x8
jOyY --Ej
jPxE -08c
jQAB -3-l
jRaD --ry
jRyT -09h
jT1L -06X
jTlM -0lx
jTuc --v6
jVBA --UC
jWhh --Gf
jX6u --nv
jZu5 --Jr
j_O5 --mj
j_vi --2v
jbRT -0w_
jc2e --Yx
jc4d --mI
jeP3 -1dx
jf4p --aZ
jfBl --lT
jf_4 --5p
jfit -119
jgVR --Am
jguG ---H
jhOo --6a
jiKP --GJ
jk1n --T6
jlWQ -0vC
jmM1 -0MZ
jov2 -0EQ
jpPe -1On
jrbk -0I3
jrka -0A0
jtE5 --FQ
jtGJ -2oX
jty1 -0A4
jv5W -0ZD
jvIH -1lg
jvV- --ox
jwE9 --ob
jwTr -2ao
jxHF -2TU
jzEK -1OP
jzpi --Ni
jzqj -1Kl
k-AB --Qg
k15W -0lI
k1uM -1k7
k5Ct -1JE
k5UP --D8
k63r -14x
k6l1 -0Ig
k6pQ --Mw
k8Cr -2cI
k8Tk -17Q
k8ff --0u
k9-L -1Zo
k9HP --Oc
k9Yp -3__
kABx --Ih
kBHa -1_c
kBYW --T3
kBqW -00u
kBuB --ja
kE5M --NY
kEH3 --MB
kEVx -2JW
kEtX -060
kF26 --Q9
kFvs --tO
kG-C -0iw
kGBo -2IK
kKnn --lx
kMGW --0F
kMfb -0bX
kNC5 -0J1
kNS- -2g2
kNy9 --C2
kOqF -0hC
kQ2o --Hv
kREd -0RK
kRXa -0nn
kReS -0dQ
kU3X --7O
kVKa -1Mv
kVyU -0YQ
kWDH --2G
kXqW --E4
kYJu -0VM
kYUB --f4
kYXA --vd
kZtw --kM
k_BT -0mj
k_VS --H-
kcy8 -0Tq
ke7c -06w
keUi -1Ja
ked6 -00v
kflV -0-_
kfpG --c9
kgtH --vK
kh6K --GI
khQq --zJ
kiLL --A3
kiTC -0bp
kjAa -0M8
kmK8 --H5
kmPX -0I-
knWx --RG
kq5B -0K8
kqnO ---l
kqtL --9R
ktEM -2h5
ktsO -1cm
kuOG --7s
kuOv --LM
kuUJ --GZ
kuUW -0Uq
kuUn --3x
kvN5 -2fg
kvgt -2GC
kwBe -2MX
kwdW --S6
kwrc -1_d
kxTm --5L
kx_K ---t
kyMh -0XT
kyQ5 -0Ia
l1dd --Lp
l1po -0n_
l2qS -3-a
l3IO --V3
l4vl --gD
l5mN --pr
l6WO -1UG
l6lR --nC
l8MW -06P
l8eD -1cM
l9BD --8o
lAVv --jT
lB-O --Zv
lB6B -0Ly
lBAM --OL
lC9L --Ey
lCE- --Ub
lCFw -1Ho
lDPQ --x4
lDnC --Kw
lFLO -2tZ
lGki -16X
lH72 --Kf
lHHr --dZ
lL-U -0O_
lL8M ---d
lMYn --Gm
lN97 --jS
lNxk -0Qe
lP4y --2V
lPLw -0nB
lQVH ---w
lQvw -212
lRtD -14L
lSJJ -2Z3
lUC3 --Bu
lWhP -20E
lWum -0vT
lXGq --AZ
lY7K -0-x
lZPQ -1Qs
l_8x -0LO
l_r5 -2QJ
l_xa --0K
laqe -2B8
lb8n -0A3
lbSF -2KT
lbn_ --ol
lcJ2 --cJ
lcXE --wG
lce9 -0bq
ld7A --DL
lecC --0g
leoO -0dR
liTk --s4
ljto -2Tt
lk5o -2bd
lkZs --DU
llda -11B
lm1G -0TT
lmVz --9P
lpJO --rN
lpdH -1Ew
lqid -37n
lrFc --Xa
lsUh --UP
lskl --8S
lvEZ -024
lvN6 -0Yr
lwBU -17V
lwBj -220
lyE6 -3nF
lyuG --pK
lyzB --5V
lzBb --K7
lzDq --0c
m0FQ --dI
m14T -0LW
m1dR --1V
m2V2 --pQ
m2wN -0QB
m3YX -3By
m4o0 -1a4
m5A4 -1sh
m5KU --EI
m9a9 --wJ
m9iU --V0
mA5t --Hc
mBUl --Yy
mBa_ --SH
mF2N --C5
mFB0 -37H
mGBo --6b
mGRj -2Cv
mGkK --GH
mHFZ -1g3
mICz --LK
mIJX --cG
mIwr -06y
mJ9f --YG
mKWb -0t0
mKpG -0Up
mLOB --s_
mMLC --CS
mMTO -26a
mMnr --6K
mMwj --By
mNJV -13t
mNMF -0eH
mNm5 --4j
mO_G -2SB
mPIJ --3i
mQme --9O
mQoQ -0_u
mRQk -0Du
mSq3 --CX
mT2C -3EJ
mU6m --T8
mUEm --fE
mUTR -0ZU
mV5a -148
mVSD --3v
mVjS -1Z9
mWH_ --6d
mWLT -0pv
mWra --dT
mWz2 --N4
mXbZ -0hZ
mYoh --3o
mZ9c --5z
mZjM --64
mZzR --4v
m_bi --z2
mbVi --RB
mcIP -0N-
mdU1 -0y_
mg2d --YW
mg5R --PK
mgcU -2Lo
mgrg -2EE
mjkq -1_t
mjtJ -0jP
mk4r --Bh
ml1z --ZB
mncG -37S
mq1R --yQ
msBb --T9
msQY ---R
msTM -1P6
msy5 --Iy
mt6T --gi
mtV_ -0n4
muif -14M
mvwb --Dk
mwKE --tn
mxu6 -1yD
myDq -0aE
myOp -0jl
mzVG -0V3
n-qD -0wQ
n0nc -01C
n1DG -0HD
n1PT --_5
n4h0 -0F4
n7xj -0iC
n8RR --7x
n8ne --6E
n9gg --Jc
nA7f --8i
nAiH --9g
nBAr -2HE
nBE2 -2Y9
nBr0 --Nq
nBwr -0tD
nEIz --Vg
nEWH -2lP
nErQ -0rL
nF2a --no
nGKB -0PW
nGRE -0lB
nGWJ --2y
nHDP -1YC
nHx2 --Ge
nJIk --5W
nJdb -26S
nKHU -0zd
nLZb -0aJ
nNPm -211
nNTB -1dp
nNdh -0l9
nNrP -0Nv
nOIO -0R1
nOOp -0oC
nOqr --99
nPkS --7n
nQGd --8j
nQcE -1Iz
nRhH --Mn
nRzv -1_x
nS6B --4Z
nS6j -02y
nTpc --r9
nUKq -0-V
nU_Z -0ec
nV0X -1RH
nVkU --sW
nWAR --U3
nWB2 -0Dt
nYFE -28q
nZHl -0iq
n_85 -0Bh
namR --aQ
nbEf --dA
nd5Q --WO
nd7U --1I
ndPC -1XV
ndYS --MA
nd_E --iG
ne6a -1wz
neE0 -2TV
nfVC --60
nfvr --29
ng1o -0WW
ng8K --86
nh5x --IQ
nhjz -06e
njjg --5g
nkVn -3eT
nlNf -0Ff
nm6o --qK
nmcr -01A
nmqZ --ef
npZX -2Ox
nqyy --pm
nsQu -06O
nuMO -1cF
nvbj --SO
nwj7 -0qS
nxir -36x
ny5T -0PG
nyng --14
o13j -2gD
o1Th -2dB
o1XS --9n
o1q1 --gv
o23W -1-W
o2J6 -1dX
o2dV -0Mc
o3Xa --Z6
o46r --fG
o54J -2da
o55G -3Lj
o68K --d-
o7hR -1zF
o8ne -0VA
o8rB -1kV
o9sS -041
oAk9 --mZ
oBUE -0cD
oCul -0rV
oDFJ -1ao
oE0- --1d
oEHl --m3
oEZ4 -0vB
oEsm -1nU
oF-F -13K
oF6- -3aM
oFdD -1sy
oGuq -3q-
oHFj --te
oIc- -3fv
oK2P --YL
oKVP --sL
oKX0 -145
oKb- --08
oKfF --XA
oL0g -198
oL0u --ny
oLaS -1EU
oQdm --3W
oT7J -0JC
oTZD -04D
oU3M -0qd
oVqf -0z2
oW7D --_O
oX88 --HZ
oXOp -08j
oZFA --CF
oZK4 --R8
oZQC -3S-
oZcL --Ts
o_jf -1BV
oabs --m_
oaj3 -1IC
ob9H --hS
obZq -0XN
od6K -17H
oe3g --iW
of87 -0kj
ofxd -3DL
ogXP --mO
og_L -0to
ohjr --GV
ojMa -0Ev
ojNS -1YJ
ojzl -3J6
okGf -0tk
ol23 --Fh
ol5t --8W
omlf -1R0
onAQ -0-y
onyV --ZT
oo3- --Ax
ooPI -0F6
opMQ --sT
oqRR -08-
oqWt --Aa
oqnp --5C
or-R -0ed
orVW -059
osDI --tU
otF7 --_X
otb4 -36b
ourG -1q1
ovpr -0bE
owYh --Cp
owkZ --Y0
oxiO --Hq
oySq -0Jr
oyVR --b3
oyWH -3Td
ozb7 -08V
ozdJ -00L
p-Bt -0A9
p-i- -01p
p0gO --DE
p0p3 --4O
p16c -2L7
p37i --Oo
p3S_ -3FH
p3fE --3H
p4RF -14N
p4VL -1cT
p4Zb -3Be
p4jL --5Q
p4lQ --2B
p58M -1xv
p799 -0La
p8Ys --1y
p8oW --qB
p9wk --Pb
pAOf -2db
pB8u -0SR
pCfM --wh
pCpn -1OV
pD1f --c0
pDJV --oY
pGp- --pD
pJlH -3K3
pKJN -1jw
pL7B -2If
pLBb --DO
pMYb --Ke
pMck -1S3
pMoc -0H_
pNLO -0Q3
pNkv -0Uk
pNyK --xH
pOI4 --ar
pPC4 --50
pPR5 -1f5
pRFu -0en
pRRY --Np
pRfl --CW
pUEr --aT
pULV -2BG
pVCf --Ye
pW6w --3t
pXQK --As
pXfd -0Mz
pY5_ --rk
pb6d -286
pcYD --oh
pcnh -2ln
pdLv --8t
pdr_ -1sR
peD8 -1vE
pf8S --51
pgkA -00P
pgwT -0eX
phG6 -0ps
pieN --zR
pjKv -2TI
pjb0 --Rd
pjy0 -2ss
pkKI -0VB
pkay -2b2
pmDA --Wq
pmMt -0XL
pn2I -1Gz
pnp8 -0zJ
pnzE --GN
po_8 -06j
pod4 --IS
ppbv --Wn
pphM -1-P
prTn --eU
prpA --Hy
psBY --mS
ptMd --ZH
pth0 --3e
ptpA --1k
puZz -0rp
pudY --Kn
pujK --4D
pukz -19R
pw_T --mt
pxMn -17n
q-j3 -0tB
q-uA --J_
q0XO --wp
q0dS --IW
q11f -02E
q25L -13f
q2pd --xq
q34X -0R3
q3X0 --tL
q3d- -0vw
q3oo --7d
q4ME --G1
q4Ns -0Ui
q7JN --VD
q7Pc --J8
q7pu -0l_
q9_W -1_A
q9fL -2aq
qBSM -3SN
qCVz -0Rc
qG25 --rx
qG3m --oA
qGCP -2jR
qIs0 --dm
qIyX -3IT
qJ7B --OK
qJCQ -0Cr
qKPG --pz
qNJR --Fq
qNUZ --w3
qOH1 --SY
qOf0 --yJ
qPk2 --52
qQjV -3br
qQvt --ZR
qRnB -2nC
qSu_ -0F3
qSwH --Qq
qTVi -00B
qTZu --bB
qTbm --1m
qTt9 --eE
qUxP --jC
qVuT -04S
qWG6 --D9
qWIj -0Tx
qWyd -1dj
qXf0 -2JQ
qYTn -2TR
q_Az --UU
q_BE --oX
q_RJ --y1
q_nR -1c6
qaJn -3nm
qbUP --xN
qcFM --2Z
qcmI -3qy
qcqu -1_p
qdPO --NR
qdsA -04J
qe0S -1rR
qfSL --JX
qf_8 -1Go
qg9- --9y
qgEz --JT
qgcS -00M
qhOY -29Y
qhRT --4J
qiKx -03m
qj-R -0zQ
qjRx -0fS
qjW8 -0RT
qjZ0 -1A3
qjew -3h8
qkJH -2c5
qkjZ --wo
qmGM --8k
qmPW --dk
qn3I -0Jc
qpAM --Kr
qpIP -0I4
qqFb -1Hu
qq_p -0rT
qqq2 -37w
qs26 --FH
qtTW --xm
qw9t --UI
qwXq --7V
qx8D --YA
qxR6 --_7
qxbY --0q
qy1w -1mi
qyBy -0-L
qypA --Lt
r-H1 -1Wa
r-Wm --e6
r1pz -160
r4IQ -0uX
r4WH -277
r4wc -1Ps
r8Ky -05Z
r8ly -3AJ
r9FG -1k6
r9ft --kh
rA55 -0p0
rA7F -0Ti
rBHj --Nu
rCei --Cv
rDOu -16R
rE8T --43
rErJ ---f
rF65 --PZ
rG6K -1wN
rGxe -0O7
rHMy --zi
rHsN -1HT
rIbm -1fT
rIzY --XS
rJ32 --9K
rJNJ -180
rJVD --UX
rJvj -2Oq
rL7S --qE
rMYN --5M
rNVL -1id
rNy8 -37I
rPHe -3Hs
rQ7h -0b3
rS8k -2NZ
rSDJ --lP
rTeT --BD
rTwY --b7
rVLQ -2cJ
rX0Y -0BL
rXEe --IY
rXRh -2Lx
rY6W --6V
rYTt -1Af
rZPK --vI
rap7 -3M8
rbWg --1M
rbbz --F3
rfZN --lh
rfey --6n
rfwZ -3KO
rgLM -1MJ
rhIG -2qI
ri-t -10M
riW5 --7U
rk9b -3kw
rkIO --oU
rmhS --7r
roGN --Dw
rpeF --sd
rqV- --6u
rqkA -0G3
rr4M -03S
rt7_ -02x
rt_0 -0aR
rv9W --f5
rvbw -1Lu
rvjn --U_
rw6S --gz
rwn8 -0MJ
rx52 ---4
s0oj -1C9
s1Mr --Ar
s3bI -0Nn
s3q4 -0lw
s47r --zZ
s4L1 --UW
s4ga --06
s58U --AX
s5EC -0i7
s5zy --Vk
s7C4 --lQ
s7Kq -3Jl
sB6Q --Qn
sBeL -0sZ
sCg9 -2DQ
sCkx --33
sFfp -0aa
sFl4 -3S_
sFoL -18h
sG_9 --3V
sHA9 --jX
sHAZ --5D
sHBu -05o
sJeE -0Zn
sKru --3f
sL2C -1bN
sLTz --jJ
sLmE -0qE
sLqJ --Et
sNNe -0ME
sNpr --39
sNy4 -1qK
sQ8x --3D
sRNf -07e
sRQA -0Nc
sR_k -0mB
sRep -037
sSmB -30e
sTL6 ---x
sTd6 --vF
sUda -01P
sVC1 --GD
sVYu -0Uh
sVh6 --ih
sXsn -161
sYTq -0lS
sZQ8 --7b
sa8Z --Tz
sa8o -0me
sc7p --IA
scLX -0zw
sdSp -2-X
sdeJ --aF
seB0 --Pg
seCN --0e
seRD --Ml
seW8 --tX
sfDH -0GY
sg_- -3ix
shn9 --ba
si6F -03w
siDY --ah
siP7 -2qD
skyx -0AF
slaD -1GX
slek -2y1
sn7H --Sk
snAj -3DB
soAN --hd
soS_ -017
sorn -0z7
sppX -147
sqKg --IG
ssB8 -2P3
sszC --5r
stdi --Ag
suVj --9e
sumP --Ne
svOQ -05i
svcq --hx
svtW --KX
swYw --OP
swzs -01E
sxOg --Fo
syh6 --re
szUA -0zP
t0Aj -03U
t1ba -01s
t1sp --4q
t3WB -0tH
t3sk -0t5
t4F8 --7g
t5l3 --8y
t5om --hL
t8Jx -05N
t9MK -0Tz
t9hr --p7
tA6e --y6
tAxz --ly
tAyS --Ht
tB1f --Hd
tByu --L3
tD8S ---9
tDyA --jl
tErI --JZ
tGpF --MR
tHZM -08B
tIsR -1HK
tK4b --8Q
tKh- --Ss
tL8e -2al
tLBo -0yA
tNHk -1Ic
tNOE -1Xw
tNrs --4b
tO2Z -2K1
tO4W --P0
tOOo --a_
tPdY -2P8
tQUM -0t1
tQXC --EN
tRjV --61
tSEm --mv
tS_U -01R
tSt1 -23i
tU9n --kI
tWau --Lq
tWeT -264
tXd8 --t3
tYEG -1Qk
tYXm --C-
tYcX --9l
tZ7v --zg
tZl1 -0Eh
t_1T -0tZ
tcz_ -0LX
te3U -2EJ
teZC -0uT
tfam -298
tkM7 -0kY
tkZ2 --Ea
tl59 --dR
tlCK --mR
tlFT -1ie
tlxr --eo
tm0g --7P
tn7V -2zN
tnS5 -0rt
tnU_ --Io
tnvk -0Ej
tpCJ -0MB
tpil --E7
trPu -3-4
ts0o -0lV
tsqa --cV
tt5g --9W
ttlz -3jD
ttqe -0rs
tx5c -3eu
tx7Y -2Vf
txBI --Qm
txlx --V_
ty_7 --sU
tzl4 --gw
u04X --KN
u0cr -2iF
u0jg -0C8
u0kR -15V
u1AU -2xo
u6O1 -0cg
u6mf --Kp
u6z4 -0H1
u8Ex -0AJ
u95S --A4
u9Mj --QP
u9eu -3LN
uAIN --7B
uA_- --X0
uBR9 -19O
uBpC -1AL
uC1c --R4
uC53 --S5
uC8K -0Qs
uCfy --NI
uFVo --8v
uFfe -2xm
uG2q --I2
uG3D -2aX
uG6m -0MT
uGG0 --Yz
uHRy -2bN
uIMj --qR
uJkz -2pW
uKgY --n3
uMCS -0Sn
uO44 --8J
uO4I --Nt
uRGc -0Di
uRx5 -0St
uSCP -2N4
uVMh -0pt
uWOQ --ls
uWPO --6h
uWvi -3f8
uY35 --il
uYnv --2s
uZJi --eu
uZkW -0Pw
u_iU --DB
uaD2 -0Cg
uaae --PL
ub40 -37p
ub9e --SQ
ubpO -1Y7
ucUm --RX
udd0 -1QF
uf03 -0LF
ufpi -05U
ugWs --gk
ugfO -0zp
ujXI -1VL
ukfK --IP
umaR --0s
uneM -3pu
unhd --t-
unrJ -361
unuV --o-
unxC -1Mu
upPI --BO
upz3 --Bd
uqNk -2n4
urDY -3Bt
urcs -22A
us92 --Jw
usis --Tl
ux8k --kQ
uxVA --4e
uxtX --CI
uy6o --IX
uyfW -0h4
uyoW --mr
uzSp --Gg
uzbT --7l
uzf9 --On
uzpi --Rv
v--Y -1J4
v-L5 -0_3
v01O -0TV
v0zh --Ij
v10- --f9
v1iz -26-
v2lP --2W
v3D1 --fo
v3Lp --5d
v4Yz --hp
v5MR --hf
v5eP --6p
v5xu --jh
v6OM --3u
v6kP --KM
v7t6 --hN
v8of ---2
v90h --dx
v9Cq -0su
v9XV --Op
vBhf -1nu
vCKY --u8
vEsL --ZG
vFk8 -15c
vHOl --vH
vHz2 -0UO
vIHi -06J
vJ2H -36-
vJ7z --Qc
vJSC --ci
vJvX ---b
vK1n -2jx
vMhB --2R
vNRl -2NI
vNwA -39A
vOPU --OB
vOe9 --Fu
vPJo -0bi
vPXb --Vs
vPuK -0KY
vQm0 -2qG
vRg1 -0Gd
vS7P --od
vS_r -2u8
vSu_ --40
vU-p --B1
vVIG -03_
vVRr --K-
vVUJ -3qD
vVZU -2Sx
vYKh --WG
vYrz --IO
vZAf -35y
vZG9 -3RC
vZHY -1BO
vZM5 -00K
vZML -0VR
vZxm -2qR
v_Ew --8U
va3c -079
vaKP --9k
vdyO --Tj
ve20 -3B9
vemo -1aK
vf9Y -0c8
vfkU --Rb
vgFG -0Cw
vgMb -0tM
vgki -2b4
vhWz -1Xq
viXa --Cy
vijw -2QP
vk4B -0fT
vkZE --rh
vmdJ --48
vmwD --5A
vnFQ -0Pz
voN8 -3Zu
votY -2zg
vpR0 --7m
vqjp -1DQ
vsNv --RF
vuGH --17
vukM --2P
vuor --sf
vvTr -21K
vvap --WF
vwjv --07
vyHr --3r
vyb2 ---K
vye- --iN
vyjg -3gR
vzxS --qv
w0b0 -2tb
w0d6 --px
w1At --bU
w3Xw --UL
w3hy --Fz
w3tT -1C8
w4PG -3eL
w5FD --g1
w5k4 -0TF
w7Xg -26X
w8fo -1lr
w8wJ -2LV
w9H- --75
wAs2 --Dq
wBEi --sl
wCBA --FD
wE-r -2qA
wEWR -09f
wFyA -0mU
wGNU -2-m
wGSG -1XD
wGT5 --Hh
wHAh -2aR
wHXr -3MZ
wKdC --al
wLap -0B9
wLld --pf
wMf1 -0b-
wNJk -1f_
wNef -0mq
wNjx --3U
wO3L -36B
wPW0 --Wa
wPfl --Fj
wQ0K -3cS
wQh- -0JK
wRAF -1an
wRMW -02P
wS7c --TU
wSMt --l2
wSc5 --zX
wTAP --qb
wVDq --Ow
wVze --9L
wWC4 --79
wWEe -0Ju
wWI7 --0Y
wWxw --GO
